Processes: 288 total, 6 running, 1 stuck, 281 sleeping, 976 threads 
2000/12/31 19:35:48
Load Avg: 1.60, 2.65, 12.80 
CPU usage: 25.0% user, 43.96% sys, 31.3% idle 
SharedLibs: 413M resident, 66M data, 172M linkedit.
MemRegions: 37933 total, 1516M resident, 282M private, 377M shared.
PhysMem: 6083M used (1950M wired), 10G unused.
VM: 1277G vsize, 1373M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS PGRP PPID STATE    BOOSTS   %CPU_ME %CPU_OTHRS UID FAULTS COW  MSGSENT MSGRECV SYSBSD  SYSMACH CSW     PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT  VPRVT  VSIZE  KPRVT  KSHRD 
1229  ARDAgent         0.0  00:00.14 7     1   94     3348K  0B     0B    1229 1    sleeping *0[1]    0.00000 0.00000    501 4382   359  587     179     2491    1350    753     0       0     0.0   0      0      ryangosdin         102    2092K  57220K 4239M  420K   0B    
1227  CloudKeychainPro 0.0  00:00.09 2     1   41     4104K  12288B 0B    1227 1    sleeping *0[2]    0.00000 0.00000    501 2872   283  188     61      1372    458     318     0       0     0.0   0      0      ryangosdin         78     3232K  55852K 4208M  352K   0B    
1206  fontworker       0.0  00:00.07 2     2   39     2880K  0B     0B    1206 1    sleeping *0[1]    0.00000 0.00000    501 2437   273  144     44      1085    384     198     0       0     0.0   0      0      ryangosdin         80     1988K  55900K 4234M  352K   0B    
1119  ProtectedCloudKe 0.0  00:00.12 2     1   56     2836K  24576B 0B    1119 1    sleeping *0[2]    0.00000 0.00000    501 4592   323  322     111     2146    688     472     24      0     0.0   0      0      ryangosdin         79     1852K  54260K 4233M  408K   49892B
1107  mdworker_shared  0.0  00:00.25 3     1   56     3616K  0B     0B    1107 1    sleeping *0[1]    0.00000 0.00000    501 6024   211  1106    444     2357    1264    671     0       0     0.0   0      0      ryangosdin         88     2956K  57356K 4217M  340K   0B    
1106  soagent          0.0  00:00.50 2     1   105    6752K  124K   0B    1106 1    sleeping *0[6]    0.00000 0.00000    501 9850   588  735     202     5875    1969    1881    0       0     0.0   0      0      ryangosdin         132    4852K  59776K 4240M  436K   31753B
745   SSMenuAgent      0.0  00:00.50 3     1   203    13220K 0B     0B    745  1    sleeping *0[1]    0.00000 0.00000    501 8988   534  2536    669     5309    4753    2385    0       0     0.0   0      0      ryangosdin         264    7976K  79508K 4325M  548K   -34K  
744   cloudd           0.0  00:02.24 7     6   240    16612K 1468K  0B    744  1    sleeping *28[1]   0.00000 0.00000    501 14022  415  4373    1615    42961   9418    13226   0       0     0.0   0      0      ryangosdin         174    16972K 69592K 4251M  472K   -406K 
730   spindump_agent   0.0  00:00.10 2     2   37     1544K  0B     0B    730  1    sleeping *0[250]  0.00000 0.00000    501 2090   277  2042    473     2690    1894    1353    2       0     0.0   0      0      ryangosdin         79     596K   38316K 4191M  328K   0B    
728   sysdiagnose_help 0.0  00:00.16 2     2   59     4040K  0B     0B    728  1    sleeping *0[11]   0.00000 0.00000    0   4523   314  479     142     3810    908     464     9       0     0.0   0      0      root               86     2956K  56336K 4235M  400K   26128B
727   tailspind        0.0  00:00.04 2     2/1 25     1308K  0B     0B    727  1    stuck    *0[2]    0.00000 0.00000    0   1870   266  101     49      949     264     96      5       0     0.0   0      0      root               68     452K   54708K 4206M  348K   -33K  
699   printtool        0.0  00:00.06 2     2   31     1600K  0B     0B    699  1    sleeping *0[2]    0.00000 0.00000    501 3025   280  147     46      1428    378     182     1       0     0.0   0      0      ryangosdin         74     664K   54872K 4207M  360K   264B  
652   nfcd             0.0  00:00.10 2     1   47     2288K  0B     0B    652  1    sleeping *0[1]    0.00000 0.00000    260 2670   338  217     72      1264    519     241     203     0     0.0   0      0      _applepay          71     1320K  54040K 4233M  364K   0B    
643   Activity Monitor 0.0  00:43.59 3/1   1   337    40748K 3244K  0B    643  1    running  *1[90]   0.00000 0.00000    501 137202 635  210922  43106   215839  470131  191660  266     0     0.0   0      0      ryangosdin         536    22656K 213M   4849M  704K   11720B
568   wifivelocityd    0.0  00:02.18 2     1   161    6488K  0B     0B    568  1    sleeping *0[2]    0.00000 0.00000    0   5871   439  7087    2728    136043  8903    37403   215     0     0.0   0      0      root               87     5464K  57148K 4236M  412K   -290K 
567   WiFiVelocityAgen 0.0  00:01.37 2     1   46     6348K  0B     0B    567  1    sleeping *0[2]    0.00000 0.00000    501 4889   293  1669    245     173021  2871    52367   39      0     0.0   0      0      ryangosdin         75     5404K  57404K 4236M  392K   -10K  
563   localAuthenticat 0.0  00:00.41 3     1   177    13520K 0B     0B    563  1    sleeping  0[37]   0.00000 0.00000    501 8295   429  3471    969     5258    6283    3025    0       0     0.0   0      0      ryangosdin         173    11744K 199M   4788M  540K   -4384B
561   com.apple.prefer 0.0  00:05.70 3     1   394    31144K 1336K  0B    561  1    sleeping  0[446]  0.00000 0.00000    501 29487  713  56154   20204   33827   78716   23201   12      0     0.0   0      0      ryangosdin         570    21156K 214M   4847M  696K   9076B 
556   HelpViewer       0.0  00:02.93 6     1   265    39048K 2340K  0B    556  1    sleeping *0[30]   0.00000 0.00000    501 22910  727  16078   4499    18929   36867   15797   293     0     0.0   0      0      ryangosdin         397    18972K 1228M  5892M  740K   28948B
552   com.apple.ColorS 0.0  00:00.03 2     2   26     1256K  0B     0B    552  1    sleeping *0[2]    0.00000 0.00000    501 1800   260  127     42      903     332     63      0       0     0.0   0      0      ryangosdin         69     416K   54700K 4206M  344K   -12K  
