Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   51    0 0xffffff7f82c33000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 0E6B40CA-306D-31B8-899A-932E8D8A46A7 <46 19 15 12 8 7 6 5 3 1>
   52    0 0xffffff7f82727000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) F9AEF317-2D73-32ED-ACB1-6D0E770B25D5 <12 8 6 5 3 1>
   53    2 0xffffff7f8135a000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 9449B16C-9935-39C9-9E9A-59345DC56D06 <8 7 6 5 3>
   54    2 0xffffff7f8135f000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) C3C74D36-E06B-3753-A373-5BC9D486DD9C <53 8 7 6 5 3 1>
   55    0 0xffffff7f82ad3000 0xb000     0xb000     com.apple.driver.AppleSmartBatteryManager (161.0.0) 2D04A692-98C0-38E0-B0E4-9359651A71F8 <47 12 6 5 3 1>
   56    1 0xffffff7f816c5000 0x4000     0x4000     com.apple.driver.AppleUSBHostMergeProperties (1.2) DEFCB49C-00EA-33A4-B146-14B62606FAA8 <5 3 1>
   57    0 0xffffff7f8136a000 0x9a000    0x9a000    com.apple.iokit.IOUSBFamily (900.4.2) 621D0D3F-A2E0-398E-AAEA-10BE32BF5B76 <24 23 13 8 6 5 3 1>
   58    0 0xffffff7f816e8000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 87D2AD4E-F214-3565-8A0C-EF8C8AAD73AE <24 23 8 7 6 5 3 1>
   59    1 0xffffff7f815ab000 0x46000    0x46000    com.apple.driver.usb.AppleUSBEHCI (1.2) 7C340CEB-FE28-3F79-9F1D-84ADA19488F1 <24 23 12 8 7 6 5 3 1>
   60    0 0xffffff7f815f5000 0xf000     0xf000     com.apple.driver.usb.AppleUSBEHCIPCI (1.2) 48C0C6A1-A3C8-3062-9ABB-41AB9932D6EE <59 24 23 13 12 8 7 6 5 3 1>
   64    2 0xffffff7f81024000 0x73000    0x73000    com.apple.iokit.IOFireWireFamily (4.7.3) 63A194C8-B6F1-3514-AD35-0F2375AE3283 <6 5 3 1>
   65    0 0xffffff7f81820000 0x25000    0x25000    com.apple.driver.AppleFWOHCI (5.6.0) D31A6422-7BE7-315C-B303-A88BF235D53A <64 13 8 7 6 5 3 1>
   66    3 0xffffff7f82cfc000 0x1a000    0x1a000    com.apple.iokit.IOAHCIFamily (288) 53509425-59F0-328C-A618-4E41C7FC5371 <6 5 3 1>
   67    0 0xffffff7f835be000 0x14000    0x14000    com.apple.driver.AppleAHCIPort (329.260.5) 2398BDAA-0C51-3965-A8A5-EC646BC66D0C <66 13 6 5 3 1>
   68    1 0xffffff7f819c0000 0x2a000    0x2a000    com.apple.driver.corecapture (1.0.4) B6895620-1670-31C3-A1E4-3CDFD34022C4 <8 7 6 5 3 1>
   69    1 0xffffff7f819f3000 0x8000     0x8000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) D6757506-88E6-3535-8813-F85DC0AD3D23 <17 5 3 1>
   70    1 0xffffff7f819fb000 0xfd000    0xfd000    com.apple.iokit.IO80211Family (1200.12.2) A879B51A-4562-3B95-B6C3-A2472B508F2F <68 32 17 9 8 7 6 5 3 1>
   72    0 0xffffff7f831c8000 0x12000    0x12000    com.apple.driver.AppleSDXC (1.7.6) FDF1EBE0-3F47-3ADD-BADF-4D0A6157F0AA <28 19 13 6 5 3 1>
   73    3 0xffffff7f824e3000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) 88663526-943E-3F2A-9C34-885F118B3143 <17 6 5 3 1>
   74    0 0xffffff7f82d65000 0x44000    0x44000    com.apple.iokit.AppleBCM5701Ethernet (10.3.3) CEDC97E5-1205-3C22-AA9C-AA1D648C10D5 <73 69 17 13 12 7 6 5 3 1>
   75    0 0xffffff7f82106000 0x1e8000   0x1e8000   com.apple.driver.AirPort.Brcm4331 (800.21.31) D4559F1A-005E-353C-B33F-3006C349EE5D <70 17 13 8 7 6 5 3 1>
   76    0 0xffffff7f83733000 0x3000     0x3000     com.apple.private.KextAudit (1.0) EBA65ACD-958B-37BF-922E-2602D1C4E7A8 <14 8 7 6 5 3>
   77    5 0xffffff7f825f1000 0xec000    0xec000    com.apple.iokit.IOThunderboltFamily (6.8.4) 888D6D89-D109-36AD-8818-7C985B67253F <6 5 3 1>
   78    0 0xffffff7f83739000 0x20000    0x20000    com.apple.driver.AppleThunderboltNHI (4.7.6) C70EE472-6934-33C8-9C7B-52558AD6241A <77 13 12 7 6 5 3 1>
